A.1.1-001|N/A|NOT FOUND - searched config.py,.env.example,main.py for production domain|App is authenticated operational platform, not yet deployed to a .gov.jo DNS; no domain exists to inspect|Register kinjo on a .gov.jo subdomain at deployment time
A.1.2-012|PARTIAL|templates/base.html:16-18 description is global/static per language (same text on every page), not unique per page; title is unique via {% block title %} (100 files override it)|Title tags are unique per page but description meta tag is identical across all ~100 templates, not page-specific|Make meta description block-overridable per template like title is
A.1.2-013|MATCH|templates/reports/view.html:168, templates/auth/reset_password.html:9, templates/auth/forgot_password.html:9, templates/auth/mfa_setup.html:34 all have alt= attributes|All located <img> tags include alt text (bilingual where relevant); broken src on logo.svg is separate issue|None — maintain alt-text discipline; fix underlying missing logo.svg file
A.1.2-014|MATCH|templates/dashboard/index.html:8 uses <h1 class="page-header-title"> via components/page-header.html pattern reused across templates; titles set per-page via {% block title %}|Headings and titles follow a consistent, readable component pattern across pages|None
A.1.3-015|PARTIAL|static/css/kinjo.css has 26 vendor-prefix (-webkit-/-moz-/-ms-) usages; Bootstrap 5.3 (templates/base.html:43) officially drops IE11 support|Bootstrap 5.3 does not support Internet Explorer 11 (one of the 6 required browsers); modern evergreen browsers (Chrome/Edge/Firefox/Safari/Opera) are covered|Document IE11 as unsupported (acceptable given Bootstrap 5 baseline) or add IE-specific polyfill/fallback bundle
A.1.3-016|MATCH|templates/base.html:13 meta viewport + static/css/kinjo.css has 8 @media breakpoints; Bootstrap 5.3 grid (templates/base.html:43) responsive by default|Responsive design covers 1366x768 and other resolutions via Bootstrap grid + custom media queries|None
A.1.4-017|MATCH|config.py:171-172 SUPPORTED_LANGUAGES=["ar","en"]; templates/base.html:2-6 renders lang/dir per ui_lang; i18n.py implements ar/en catalogs|Site is bilingual Arabic/English at template, config, and i18n-catalog level|None
A.1.4-018|MATCH|config.py:171 DEFAULT_LANGUAGE: str = "ar"; i18n.py:14 DEFAULT_LANGUAGE = "ar"; templates/base.html:5 defaults to lang="ar" dir="rtl" when ui_lang isn't 'en'|Arabic confirmed as default in both backend config and template fallback|None
A.1.4-019|PARTIAL|templates/components/navbar.html:82-89 language toggle button present in main app navbar (included via base.html:133); templates/auth/login.html:812-829 separate toggle on auth pages only|Toggle exists in two different forms/locations (icon button in app navbar vs text links pre-login) — not one single consistent placement/style across all page types|Unify language-toggle markup/placement between auth pages and authenticated app shell
A.1.4-020|MISMATCH|templates/components/navbar.html:84-88 toggleLanguage() button shows only a bi-translate ICON, no visible "English"/"عربي" word; only templates/auth/login.html:821,826 show full word text|Main authenticated app (the majority of the product) uses an icon-only toggle, violating the full-word requirement; only auth pages comply|Add visible "English"/"عربي" text label next to the icon in components/navbar.html
A.1.4-021|MATCH|static/js/kinjo-app.js:219-233 toggleLanguage() sets cookie + localStorage then window.location.reload(), reloading same path in new language|Switching language reloads the current page in the opposite language rather than redirecting to homepage|None
A.1.4-022|MISMATCH|NOT FOUND - searched i18n.py, base.html, navbar.html for "not available in this language" fallback messaging|No mechanism found that informs users when content lacks a translation; i18n.py:103 silently falls back to showing the original (untranslated) string with no notice|Add a visible "content not available in this language" notice when catalog lookup misses
A.1.4-023|PARTIAL|i18n.py has no file-locale binding; uploaded attachments/reports (api/attendance_routes.py photos, reports) are stored without a language tag|Downloadable files (incident photos, reports) aren't tagged by language so there's no enforcement they match UI language context, though most content is data not documents|Tag generated PDF/report exports with the active UI language explicitly
A.1.5-024|MISMATCH|NOT FOUND - searched templates and static for "accessibility-bar/toolbar/menu" (grep across full repo only matched GWS audit files themselves)|No accessibility bar/toolbar exists anywhere in the actual application templates or JS|Build a persistent accessibility toolbar (text resize, contrast, etc.) exposed consistently in base.html/admin_base.html
A.1.5-025|MISMATCH|NOT FOUND - searched for text-resize/increaseFontSize/decreaseFontSize/a11y-resize across templates and static/js|No text-resizing control exists; only the standard browser zoom is available (not site-provided)|Implement a font-size +/- control persisted via localStorage, applied via CSS custom property
A.1.5-026|MISMATCH|NOT FOUND - searched for colorblind/protanopia/deuteranopia filters across whole repo, none in app code|No color-blindness accommodation (e.g. filter modes, pattern fills) exists in CSS or JS|Add a color-blind-friendly mode/contrast filter toggle (e.g. CSS filter or palette swap)
A.1.5-027|MISMATCH|NOT FOUND - searched dark-mode/night-mode/prefers-color-scheme across kinjo.css and static/js, none found; templates/base.html:21 hardcodes meta color-scheme="light"|No night/dark mode toggle exists; color-scheme is explicitly fixed to light only|Implement a dark/night mode toggle (CSS variables + prefers-color-scheme + manual switch)
A.1.5-028|PARTIAL|static/css/kinjo.css:128,133,150,387-395,567,580,595-613,874-875 define :focus/:focus-visible styles; templates/base.html:127-128 has a skip-link; tabindex used in 36 template files (54 occurrences)|Keyboard support exists (focus rings, skip-link, tabindex) but not verified end-to-end for all interactive widgets (modals, dropdowns, custom JS controls)|Run a full keyboard-only navigation audit across modals/dropdowns/data tables for trap-free tabbing
A.1.5-029|MISMATCH|NOT FOUND - searched scroll-to-top/scrollToTop/back-to-top/scroll-up across entire repo (only matched GWS audit source files)|No scroll-to-top button exists anywhere in templates or static/js|Add a fixed "scroll to top" button shown after scroll threshold, in base.html/admin_base.html
A.1.6-030|MISMATCH|NOT FOUND - grepped templates for facebook/twitter/instagram/linkedin/youtube, zero matches; templates/components/footer.html has no social links|No social media buttons/links exist anywhere in the application|N/A in current form (no public entity social pages to link); if ministry has official pages, add links to footer
A.1.6-031|MISMATCH|templates/components/footer.html:1-18 contains only copyright text and version number, no social icons|Footer has no social media buttons at all to place|Add social icons to footer.html once entity social accounts are designated
A.1.6-032|N/A|NOT FOUND - confirmed no "Contact Us" page exists anywhere in frontend.py routes or templates|App has no public Contact Us page (per project nature: authenticated operational app only); admin "contact_messages.html" is an inbox view, not a public contact form|Not applicable unless a public Contact Us page is built
A.1.6-033|N/A|NOT FOUND - no social buttons exist (depends on A.1.6-030/031 which are MISMATCH)|Cannot evaluate target="_blank" behavior because no social buttons exist to click|Implement target="_blank" rel="noopener" once social buttons are added
A.1.6-034|MISMATCH|NOT FOUND - searched templates for any share-button/sharing widget, none found beyond unrelated admin_i18n.js OG-tag injection (static/js/admin_i18n.js:255-279)|No social sharing buttons on any webpage; OG meta tags are injected client-side only on admin pages but no actual share UI exists|Add share buttons (e.g. WhatsApp/Twitter/Facebook share intents) to relevant content pages
A.1.6-035|N/A|NOT FOUND - depends on A.1.6-034 which is MISMATCH; no sharing buttons exist to position|No sharing buttons exist, so placement/RTL-LTR side logic is moot|Implement alongside A.1.6-034, respecting dir-aware placement (note CSS already does logical "inset-inline" patterns elsewhere, e.g. page_load_timer.js:89)
A.1.6-036|N/A|NOT FOUND - depends on A.1.6-034 which is MISMATCH; no "Share"/"شارك" label exists|No sharing buttons exist, so no label can be present|Implement alongside A.1.6-034 with bilingual "Share"/"شارك" label
A.1.7-037|MISMATCH|NOT FOUND - grepped whole repo for rss/application+rss+xml/<feed, no real feed implementation (only false-positive substring matches in governance_reports.html/admin_governance.js for unrelated "Performers" text)|No RSS feed subscription mechanism exists|N/A for an authenticated operational app with no public news section; if a public news/announcements feature is added later, add RSS endpoint then
A.1.7-038|N/A|NOT FOUND - no RSS feature exists at all (depends on A.1.7-037)|No RSS icon can exist because there is no RSS feed|Implement alongside A.1.7-037 if public news ever added
A.1.7-039|N/A|App has no public news section (confirmed: no public News page in routes per project brief)|RSS-for-news is inapplicable since there is no news content type in the product at all|Not applicable unless a public news/announcements feature is introduced
A.1.8-040|PARTIAL|static/js/page_load_timer.js is a client-side perceived-loading UI indicator (not a real performance measurement/report tool); no server-side page load benchmark found|No actual measured/logged page load time evidence against the 9-second threshold; the timer only displays elapsed time to the user, doesn't enforce or report it|Add real performance monitoring (e.g. Server-Timing header, RUM logging) and verify pages load under 9s
A.1.8-041|PARTIAL|main.py:311 GZipMiddleware(minimum_size=1024, compresslevel=6) reduces payload; templates/base.html pulls 4 external CDN CSS/JS bundles (Bootstrap, Bootstrap Icons, Chart.js, SweetAlert2) plus Google Fonts|Compression in place but no measured page weight; multiple external libraries could push pages near/over 5MB on data-heavy admin dashboards with charts|Measure actual transferred page size per role/page; trim unused CDN bundles per page
A.1.8-042|MISMATCH|templates/auth/forgot_password.html:9 and templates/auth/reset_password.html:9 reference missing /static/img/logo.svg (directory absent, confirmed via Bash ls); have onerror fallback but request still fires and 404s|At least one confirmed broken image request (404) hit on two auth pages; full link/request audit not performed beyond this|Fix missing /static/img/logo.svg asset or remove the broken <img> reference; audit other templates for similar stale paths
A.1.8-043|MISMATCH|NOT FOUND - no TTFB measurement/logging found in main.py or static/js/page_load_timer.js; only client-perceived total load time is tracked, not server TTFB|No Time To First Byte metric is measured, logged, or reported anywhere in the codebase|Add Server-Timing header or APM integration to measure/report TTFB against 800ms threshold
A.1.8-044|MATCH|static/favicon.svg is 289 bytes; static/uploads/photos/*.png test fixtures are ~106 bytes each (all well under 150KB)|All images found in the repo are far under 150KB; no large production images exist to evaluate against real content yet|Verify once real uploaded photos/incident images are added at scale (api/attendance_routes.py photo uploads, MAX_ATTACHMENT_SIZE_MB=10 in .env.example:59 allows much larger than 150KB)
A.1.8-045|PARTIAL|static/favicon.svg=289 bytes (under 40KB); no other small icon/UI images found besides Bootstrap Icons webfont (loaded from CDN, not local small images)|Limited local small-image evidence to fully verify; most icons come from Bootstrap Icons font/CDN rather than image files subject to this rule|Confirm any future small UI images (badges, icons) stay under 40KB
