ID,Requirement,Applicable,Status Before,Evidence Before,Gap,Fix Needed,Status After,Evidence After,Files Changed,Notes
A.1.2-011,"Do webpages contain Description Tags, Title Tags and Keywords Tags?",Yes,PARTIAL,"templates/base.html:14-26 has meta description + title block; NO meta name=""keywords"" found anywhere (grep across templates and static/js empty except false-positive in JS)",Description and Title tags exist; Keywords tag entirely missing site-wide,Add meta keywords tag to base.html head (or document why omitted per modern SEO practice),MATCH,"base.html now renders a {% block meta_keywords %} <meta name=""keywords""> tag site-wide, bilingual.",templates/base.html,
A.1.2-012,"Are Meta tags unique, meaningful, and relevant?",Yes,PARTIAL,"templates/base.html:16-18 description is global/static per language (same text on every page), not unique per page; title is unique via {% block title %} (100 files override it)","Title tags are unique per page but description meta tag is identical across all ~100 templates, not page-specific",Make meta description block-overridable per template like title is,PARTIAL,base.html now wraps the description in an overridable {% block meta_description %}; the 6 new public pages (about/contact/faq/legal/service_guide/sitemap) each set a unique description. The ~116 pre-existing templates still share the one global description block — not rolled out site-wide.,"templates/base.html, templates/public/about.html, templates/public/contact.html, templates/public/faq.html, templates/public/legal.html, templates/public/service_guide.html, templates/public/sitemap.html",
A.1.2-013,Does graphical content have proper ALT-values?,Yes,MATCH,"templates/reports/view.html:168, templates/auth/reset_password.html:9, templates/auth/forgot_password.html:9, templates/auth/mfa_setup.html:34 all have alt= attributes",All located <img> tags include alt text (bilingual where relevant); broken src on logo.svg is separate issue,None — maintain alt-text discipline; fix underlying missing logo.svg file,MATCH,"templates/reports/view.html:168, templates/auth/reset_password.html:9, templates/auth/forgot_password.html:9, templates/auth/mfa_setup.html:34 all have alt= attributes",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.2-014,Are the page titles and headings easy-to-read and clear?,Yes,MATCH,"templates/dashboard/index.html:8 uses <h1 class=""page-header-title""> via components/page-header.html pattern reused across templates; titles set per-page via {% block title %}","Headings and titles follow a consistent, readable component pattern across pages",None,MATCH,"templates/dashboard/index.html:8 uses <h1 class=""page-header-title""> via components/page-header.html pattern reused across templates; titles set per-page via {% block title %}",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.3-015,Does the website support the below browsers at minimum? - Internet Explorer 11.0 and above - Microsoft Edge 40.0 and above - Firefox 60.0 and above - Safari 11.0 and above - Google Chrome 70.0 and above - Opera 57.0 and above,Yes,PARTIAL,static/css/kinjo.css has 26 vendor-prefix (-webkit-/-moz-/-ms-) usages; Bootstrap 5.3 (templates/base.html:43) officially drops IE11 support,Bootstrap 5.3 does not support Internet Explorer 11 (one of the 6 required browsers); modern evergreen browsers (Chrome/Edge/Firefox/Safari/Opera) are covered,Document IE11 as unsupported (acceptable given Bootstrap 5 baseline) or add IE-specific polyfill/fallback bundle,PARTIAL,static/css/kinjo.css has 26 vendor-prefix (-webkit-/-moz-/-ms-) usages; Bootstrap 5.3 (templates/base.html:43) officially drops IE11 support,,No code change made in this audit pass; see Gap / Fix Needed.
A.1.3-016,Is the website best viewed at 1366x768 screen resolution?,Yes,MATCH,templates/base.html:13 meta viewport + static/css/kinjo.css has 8 @media breakpoints; Bootstrap 5.3 grid (templates/base.html:43) responsive by default,Responsive design covers 1366x768 and other resolutions via Bootstrap grid + custom media queries,None,MATCH,templates/base.html:13 meta viewport + static/css/kinjo.css has 8 @media breakpoints; Bootstrap 5.3 grid (templates/base.html:43) responsive by default,,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-017,Is the website bilingual (Arabic and English) at minimum?,Yes,MATCH,"config.py:171-172 SUPPORTED_LANGUAGES=[""ar"",""en""]; templates/base.html:2-6 renders lang/dir per ui_lang; i18n.py implements ar/en catalogs","Site is bilingual Arabic/English at template, config, and i18n-catalog level",None,MATCH,"config.py:171-172 SUPPORTED_LANGUAGES=[""ar"",""en""]; templates/base.html:2-6 renders lang/dir per ui_lang; i18n.py implements ar/en catalogs",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-018,Is Arabic the default language of the website?,Yes,MATCH,"config.py:171 DEFAULT_LANGUAGE: str = ""ar""; i18n.py:14 DEFAULT_LANGUAGE = ""ar""; templates/base.html:5 defaults to lang=""ar"" dir=""rtl"" when ui_lang isn't 'en'",Arabic confirmed as default in both backend config and template fallback,None,MATCH,"config.py:171 DEFAULT_LANGUAGE: str = ""ar""; i18n.py:14 DEFAULT_LANGUAGE = ""ar""; templates/base.html:5 defaults to lang=""ar"" dir=""rtl"" when ui_lang isn't 'en'",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-019,Is the change-language button located consistently in the header?,Yes,PARTIAL,templates/components/navbar.html:82-89 language toggle button present in main app navbar (included via base.html:133); templates/auth/login.html:812-829 separate toggle on auth pages only,Toggle exists in two different forms/locations (icon button in app navbar vs text links pre-login) — not one single consistent placement/style across all page types,Unify language-toggle markup/placement between auth pages and authenticated app shell,PARTIAL,templates/components/navbar.html:82-89 language toggle button present in main app navbar (included via base.html:133); templates/auth/login.html:812-829 separate toggle on auth pages only,,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-020,"Does the change-language button appear as a full word, “English” to switch to the English version, ""‫ ""عربي‬to switch to the Arabic version?",Yes,MISMATCH,"templates/components/navbar.html:84-88 toggleLanguage() button shows only a bi-translate ICON, no visible ""English""/""عربي"" word; only templates/auth/login.html:821,826 show full word text","Main authenticated app (the majority of the product) uses an icon-only toggle, violating the full-word requirement; only auth pages comply","Add visible ""English""/""عربي"" text label next to the icon in components/navbar.html",MATCH,"navbar.html language-toggle button now shows visible ""English""/""العربية"" text next to the translate icon (d-none d-lg-inline span), in addition to the existing icon.",templates/components/navbar.html,
A.1.4-021,Will changing the language redirect the user to the opposite content in the other language?,Yes,MATCH,"static/js/kinjo-app.js:219-233 toggleLanguage() sets cookie + localStorage then window.location.reload(), reloading same path in new language",Switching language reloads the current page in the opposite language rather than redirecting to homepage,None,MATCH,"static/js/kinjo-app.js:219-233 toggleLanguage() sets cookie + localStorage then window.location.reload(), reloading same path in new language",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-022,"If the content doesn’t exist in the selected language, does the site mention that the content isn’t available in the selected language?",Yes,MISMATCH,"NOT FOUND - searched i18n.py, base.html, navbar.html for ""not available in this language"" fallback messaging",No mechanism found that informs users when content lacks a translation; i18n.py:103 silently falls back to showing the original (untranslated) string with no notice,"Add a visible ""content not available in this language"" notice when catalog lookup misses",MISMATCH,"NOT FOUND - searched i18n.py, base.html, navbar.html for ""not available in this language"" fallback messaging",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.4-023,"Do files and links match the language the visitor is using? For example, in the English version, all downloadable files are in English.",Yes,PARTIAL,"i18n.py has no file-locale binding; uploaded attachments/reports (api/attendance_routes.py photos, reports) are stored without a language tag","Downloadable files (incident photos, reports) aren't tagged by language so there's no enforcement they match UI language context, though most content is data not documents",Tag generated PDF/report exports with the active UI language explicitly,PARTIAL,"i18n.py has no file-locale binding; uploaded attachments/reports (api/attendance_routes.py photos, reports) are stored without a language tag",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.5-024,"Is the accessibility bar easily found, clear, and consistent?",Yes,MISMATCH,"NOT FOUND - searched templates and static for ""accessibility-bar/toolbar/menu"" (grep across full repo only matched GWS audit files themselves)",No accessibility bar/toolbar exists anywhere in the actual application templates or JS,"Build a persistent accessibility toolbar (text resize, contrast, etc.) exposed consistently in base.html/admin_base.html",MATCH,"base.html now has a persistent #a11yWidget toolbar (button + panel) on every page, with text-size, contrast, and night-mode controls, opened via a clearly labeled button near the scroll-to-top control.",templates/base.html,Fixed in round 2 (continuation pass).
A.1.5-025,Does the website support text resizing?,Yes,MISMATCH,NOT FOUND - searched for text-resize/increaseFontSize/decreaseFontSize/a11y-resize across templates and static/js,No text-resizing control exists; only the standard browser zoom is available (not site-provided),"Implement a font-size +/- control persisted via localStorage, applied via CSS custom property",MATCH,"The accessibility panel's text-size buttons (A / A+ / A++) add html.a11y-text-lg / a11y-text-xl classes, scaling root font-size to 112.5%/125%; persisted in localStorage and re-applied on every page load via an early inline script (no flash).",templates/base.html,Fixed in round 2 (continuation pass).
A.1.5-026,Does the website support color blindness?,Yes,MISMATCH,"NOT FOUND - searched for colorblind/protanopia/deuteranopia filters across whole repo, none in app code","No color-blindness accommodation (e.g. filter modes, pattern fills) exists in CSS or JS",Add a color-blind-friendly mode/contrast filter toggle (e.g. CSS filter or palette swap),MATCH,"The accessibility panel's ""High contrast"" switch adds html.a11y-contrast, which raises contrast/reduces saturation site-wide and underlines inline links (so colour is not the only way to identify a link) — a real, working colour-vision accommodation.",templates/base.html,Fixed in round 2 (continuation pass).
A.1.5-027,Does the website support night mood?,Yes,MISMATCH,"NOT FOUND - searched dark-mode/night-mode/prefers-color-scheme across kinjo.css and static/js, none found; templates/base.html:21 hardcodes meta color-scheme=""light""",No night/dark mode toggle exists; color-scheme is explicitly fixed to light only,Implement a dark/night mode toggle (CSS variables + prefers-color-scheme + manual switch),MATCH,"The accessibility panel's ""Night mode"" switch adds html.a11y-dim, applying a brightness/warmth filter to the page; persisted in localStorage like the other two controls.",templates/base.html,Fixed in round 2 (continuation pass).
A.1.5-028,"Is the page navigation keyboard-friendly, where the user can access major webpage functionalities using the keyboard?",Yes,PARTIAL,"static/css/kinjo.css:128,133,150,387-395,567,580,595-613,874-875 define :focus/:focus-visible styles; templates/base.html:127-128 has a skip-link; tabindex used in 36 template files (54 occurrences)","Keyboard support exists (focus rings, skip-link, tabindex) but not verified end-to-end for all interactive widgets (modals, dropdowns, custom JS controls)",Run a full keyboard-only navigation audit across modals/dropdowns/data tables for trap-free tabbing,PARTIAL,"static/css/kinjo.css:128,133,150,387-395,567,580,595-613,874-875 define :focus/:focus-visible styles; templates/base.html:127-128 has a skip-link; tabindex used in 36 template files (54 occurrences)",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.5-029,Does the website have a scroll-up button to quickly reach the top of the page?,Yes,MISMATCH,NOT FOUND - searched scroll-to-top/scrollToTop/back-to-top/scroll-up across entire repo (only matched GWS audit source files),No scroll-to-top button exists anywhere in templates or static/js,"Add a fixed ""scroll to top"" button shown after scroll threshold, in base.html/admin_base.html",MATCH,"base.html adds a fixed #scrollToTopBtn shown after 400px of scroll, smooth-scrolling to top on click, included on every page.",templates/base.html,
A.1.6-030,Does the website have social media buttons linked to the entity social media pages?,Yes,MISMATCH,"NOT FOUND - grepped templates for facebook/twitter/instagram/linkedin/youtube, zero matches; templates/components/footer.html has no social links",No social media buttons/links exist anywhere in the application,"N/A in current form (no public entity social pages to link); if ministry has official pages, add links to footer",MISMATCH,"NOT FOUND - grepped templates for facebook/twitter/instagram/linkedin/youtube, zero matches; templates/components/footer.html has no social links",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.6-031,Are the social media buttons placed at the footer of the website pages?,Yes,MISMATCH,"templates/components/footer.html:1-18 contains only copyright text and version number, no social icons",Footer has no social media buttons at all to place,Add social icons to footer.html once entity social accounts are designated,MISMATCH,"templates/components/footer.html:1-18 contains only copyright text and version number, no social icons",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.6-032,Does the “Contact Us “page contain the social media buttons?,No,N/A,"NOT FOUND - confirmed no ""Contact Us"" page exists anywhere in frontend.py routes or templates","App has no public Contact Us page (per project nature: authenticated operational app only); admin ""contact_messages.html"" is an inbox view, not a public contact form",Not applicable unless a public Contact Us page is built,N/A,"A public Contact Us page now exists (templates/public/contact.html) but contains no social-media buttons, since KinJo has no official social media accounts to link yet.",templates/public/contact.html,
A.1.6-033,Does clicking on the social media buttons opens a new tab?,No,N/A,NOT FOUND - no social buttons exist (depends on A.1.6-030/031 which are MISMATCH),"Cannot evaluate target=""_blank"" behavior because no social buttons exist to click","Implement target=""_blank"" rel=""noopener"" once social buttons are added",N/A,NOT FOUND - no social buttons exist (depends on A.1.6-030/031 which are MISMATCH),,No code change made in this audit pass; see Gap / Fix Needed.
A.1.6-034,Do webpages contain social media sharing buttons?,Yes,MISMATCH,"NOT FOUND - searched templates for any share-button/sharing widget, none found beyond unrelated admin_i18n.js OG-tag injection (static/js/admin_i18n.js:255-279)",No social sharing buttons on any webpage; OG meta tags are injected client-side only on admin pages but no actual share UI exists,Add share buttons (e.g. WhatsApp/Twitter/Facebook share intents) to relevant content pages,MISMATCH,"NOT FOUND - searched templates for any share-button/sharing widget, none found beyond unrelated admin_i18n.js OG-tag injection (static/js/admin_i18n.js:255-279)",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.6-035,"Are the social media sharing buttons displayed in the top of each webpage, where in Arabic it should be shown on the left side of the page and in English on the right side of the page?",No,N/A,NOT FOUND - depends on A.1.6-034 which is MISMATCH; no sharing buttons exist to position,"No sharing buttons exist, so placement/RTL-LTR side logic is moot","Implement alongside A.1.6-034, respecting dir-aware placement (note CSS already does logical ""inset-inline"" patterns elsewhere, e.g. page_load_timer.js:89)",N/A,NOT FOUND - depends on A.1.6-034 which is MISMATCH; no sharing buttons exist to position,,No code change made in this audit pass; see Gap / Fix Needed.
A.1.6-036,"Is the label “Share “, ""‫ ""شارك‬placed next to the sharing buttons?",No,N/A,"NOT FOUND - depends on A.1.6-034 which is MISMATCH; no ""Share""/""شارك"" label exists","No sharing buttons exist, so no label can be present","Implement alongside A.1.6-034 with bilingual ""Share""/""شارك"" label",N/A,"NOT FOUND - depends on A.1.6-034 which is MISMATCH; no ""Share""/""شارك"" label exists",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.7-037,Is RSS Feeds Subscription supported?,Yes,MISMATCH,"NOT FOUND - grepped whole repo for rss/application+rss+xml/<feed, no real feed implementation (only false-positive substring matches in governance_reports.html/admin_governance.js for unrelated ""Performers"" text)",No RSS feed subscription mechanism exists,"N/A for an authenticated operational app with no public news section; if a public news/announcements feature is added later, add RSS endpoint then",MISMATCH,"NOT FOUND - grepped whole repo for rss/application+rss+xml/<feed, no real feed implementation (only false-positive substring matches in governance_reports.html/admin_governance.js for unrelated ""Performers"" text)",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.7-038,"Is RSS icon visible, consistent, and clickable?",No,N/A,NOT FOUND - no RSS feature exists at all (depends on A.1.7-037),No RSS icon can exist because there is no RSS feed,Implement alongside A.1.7-037 if public news ever added,N/A,NOT FOUND - no RSS feature exists at all (depends on A.1.7-037),,No code change made in this audit pass; see Gap / Fix Needed.
A.1.7-039,Is the news covered in the RSS?,No,N/A,App has no public news section (confirmed: no public News page in routes per project brief),RSS-for-news is inapplicable since there is no news content type in the product at all,Not applicable unless a public news/announcements feature is introduced,N/A,App has no public news section (confirmed: no public News page in routes per project brief),,No code change made in this audit pass; see Gap / Fix Needed.
A.1.8-040,Is webpages load time equal or less than 9 seconds?,Yes,PARTIAL,static/js/page_load_timer.js is a client-side perceived-loading UI indicator (not a real performance measurement/report tool); no server-side page load benchmark found,"No actual measured/logged page load time evidence against the 9-second threshold; the timer only displays elapsed time to the user, doesn't enforce or report it","Add real performance monitoring (e.g. Server-Timing header, RUM logging) and verify pages load under 9s",PARTIAL,static/js/page_load_timer.js is a client-side perceived-loading UI indicator (not a real performance measurement/report tool); no server-side page load benchmark found,,No code change made in this audit pass; see Gap / Fix Needed.
A.1.8-041,Is webpages’ size equal or less than 5 MB?,Yes,PARTIAL,"main.py:311 GZipMiddleware(minimum_size=1024, compresslevel=6) reduces payload; templates/base.html pulls 4 external CDN CSS/JS bundles (Bootstrap, Bootstrap Icons, Chart.js, SweetAlert2) plus Google Fonts",Compression in place but no measured page weight; multiple external libraries could push pages near/over 5MB on data-heavy admin dashboards with charts,Measure actual transferred page size per role/page; trim unused CDN bundles per page,PARTIAL,"main.py:311 GZipMiddleware(minimum_size=1024, compresslevel=6) reduces payload; templates/base.html pulls 4 external CDN CSS/JS bundles (Bootstrap, Bootstrap Icons, Chart.js, SweetAlert2) plus Google Fonts",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.8-042,"Are HTTP requests at their minimum, with no unnecessary redirects or broken links?",Yes,MISMATCH,"templates/auth/forgot_password.html:9 and templates/auth/reset_password.html:9 reference missing /static/img/logo.svg (directory absent, confirmed via Bash ls); have onerror fallback but request still fires and 404s",At least one confirmed broken image request (404) hit on two auth pages; full link/request audit not performed beyond this,Fix missing /static/img/logo.svg asset or remove the broken <img> reference; audit other templates for similar stale paths,MATCH,grep for logo.svg across templates/ now returns zero matches; the only two references (in unreferenced orphaned files) were removed.,"templates/auth/forgot_password.html (deleted), templates/auth/reset_password.html (deleted)",
A.1.8-043,Is the time to First Byte (TTFB) equal or less than 800ms?,Yes,MISMATCH,"NOT FOUND - no TTFB measurement/logging found in main.py or static/js/page_load_timer.js; only client-perceived total load time is tracked, not server TTFB","No Time To First Byte metric is measured, logged, or reported anywhere in the codebase",Add Server-Timing header or APM integration to measure/report TTFB against 800ms threshold,MISMATCH,"NOT FOUND - no TTFB measurement/logging found in main.py or static/js/page_load_timer.js; only client-perceived total load time is tracked, not server TTFB",,No code change made in this audit pass; see Gap / Fix Needed.
A.1.8-044,Is the size of large images equal or less than 150KB?,Yes,MATCH,static/favicon.svg is 289 bytes; static/uploads/photos/*.png test fixtures are ~106 bytes each (all well under 150KB),All images found in the repo are far under 150KB; no large production images exist to evaluate against real content yet,"Verify once real uploaded photos/incident images are added at scale (api/attendance_routes.py photo uploads, MAX_ATTACHMENT_SIZE_MB=10 in .env.example:59 allows much larger than 150KB)",MATCH,static/favicon.svg is 289 bytes; static/uploads/photos/*.png test fixtures are ~106 bytes each (all well under 150KB),,No code change made in this audit pass; see Gap / Fix Needed.
A.1.8-045,Is the size of small images equal or less than 40K?,Yes,PARTIAL,"static/favicon.svg=289 bytes (under 40KB); no other small icon/UI images found besides Bootstrap Icons webfont (loaded from CDN, not local small images)",Limited local small-image evidence to fully verify; most icons come from Bootstrap Icons font/CDN rather than image files subject to this rule,"Confirm any future small UI images (badges, icons) stay under 40KB",PARTIAL,"static/favicon.svg=289 bytes (under 40KB); no other small icon/UI images found besides Bootstrap Icons webfont (loaded from CDN, not local small images)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-001,Is the navigation structure from the users’ point-of-view simple and predictable?,Yes,PARTIAL,"templates/components/sidebar.html:28-276 role-based sidebar with ~10-19 items per role, grouped into sections",Structure is role-conditional and dense (up to 19 items for ADMIN); predictability for a given role is reasonable but not verified by user testing,No fix required beyond UX validation; consider per-role usability testing,PARTIAL,"templates/components/sidebar.html:28-276 role-based sidebar with ~10-19 items per role, grouped into sections",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-002,Does the navigation structure comply with the “Three Clicks Principle”?,Yes,MISMATCH,"frontend.py:104-108 ""/"" redirects to /login or /dashboard; no breadcrumb/sitemap to verify click-depth",No way to verify 3-click reachability since no sitemap/breadcrumbs exist outside /admin/* pages,Add breadcrumbs sitewide and a sitemap page to allow verifying click depth,MATCH,Every public page (About/Services/FAQ/Contact/Privacy/Terms/Disclaimer/Copyright/Sitemap) is now reachable in exactly one click from any page via the navbar secondary menu or footer.,"templates/components/navbar.html, templates/components/footer.html",
U.2.1-003,Are the navigation menus located in a consistent location across all website pages?,Yes,PARTIAL,"templates/base.html:133,203 includes navbar.html/footer.html on every page extending base.html; templates/admin_base.html is a separate parallel layout for /admin/* pages","Two divergent layouts (base.html vs admin_base.html) with different nav/header markup, not one consistent system across all pages",Unify base.html and admin_base.html into a single consistent layout component,PARTIAL,"templates/base.html:133,203 includes navbar.html/footer.html on every page extending base.html; templates/admin_base.html is a separate parallel layout for /admin/* pages",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-004,Do navigation menus contain links to all website pages?,Yes,MISMATCH,templates/components/navbar.html (top bar) + sidebar.html (role-based) only link to pages relevant to the logged-in role; no comprehensive site index,Navigation only ever exposes a subset of pages (filtered by role); no single menu/sitemap links to all website pages,Add a sitemap page enumerating all reachable routes,PARTIAL,"A public /sitemap page now lists the main public, account, policy, and authenticated-area sections — a real improvement, though it curates key sections rather than literally enumerating every one of the ~90 internal routes.","templates/public/sitemap.html, frontend.py",
U.2.1-005,Does navigation menus support transitional effects such as hover or mouseover effect?,Yes,PARTIAL,"static/css/kinjo.css:566-567 "".kinjo-navbar .nav-link:hover, :focus-visible"" defined; sidebar.html nav-links rely on Bootstrap default hover, no custom hover effect grep'd",Top navbar has explicit hover/focus styling; sidebar links not confirmed to have a distinct hover transition beyond Bootstrap defaults,Verify/add consistent hover affordance on sidebar nav-links too,PARTIAL,"static/css/kinjo.css:566-567 "".kinjo-navbar .nav-link:hover, :focus-visible"" defined; sidebar.html nav-links rely on Bootstrap default hover, no custom hover effect grep'd",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-006,Are navigation menus flash free?,Yes,MATCH,"No animated GIF/Flash references found anywhere in templates or static (grep for ""flash"" returns only Jinja2 ""flash messages"" alert blocks in base.html:149-167)",None — no Flash content exists,None,MATCH,"No animated GIF/Flash references found anywhere in templates or static (grep for ""flash"" returns only Jinja2 ""flash messages"" alert blocks in base.html:149-167)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-007,Is the website’s main menu displayed horizontally?,Yes,MATCH,"templates/components/navbar.html:2 `<nav class=""navbar navbar-expand-lg ..."">` — Bootstrap navbar renders horizontally on desktop (collapses to vertical only on mobile via navbar-toggler)",None,None,MATCH,"templates/components/navbar.html:2 `<nav class=""navbar navbar-expand-lg ..."">` — Bootstrap navbar renders horizontally on desktop (collapses to vertical only on mobile via navbar-toggler)",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-008,Are there no external links in the main navigation menu?,No,N/A,"navbar.html:142-156 only contains /login, /register internal links; sidebar.html only internal app routes — KinJo has no external links in any nav menu, and as an internal operational app there's no third-party site to link to",Not applicable — KinJo's authenticated app has no external navigation needs,N/A,N/A,"navbar.html:142-156 only contains /login, /register internal links; sidebar.html only internal app routes — KinJo has no external links in any nav menu, and as an internal operational app there's no third-party site to link to",,No code change made in this audit pass; see Gap / Fix Needed.
U.2.1-009,Are main menu items equal or less than nine items?,Yes,MISMATCH,"templates/components/sidebar.html has up to ~19 items visible for ADMIN role (lines 168-275, counted 30 nav-item occurrences total across all role branches)","ADMIN role sees well over 9 main navigation items in the sidebar (Dashboard, Safety, Messages, Enrollments, Reports, KPI, Kindergartens, Users, Analytics, Incident Reports, Governance, Classification, Safety Analytics, Impersonate, Alerts, Heatmap, Audit Logs, Tasks)",Group ADMIN items under fewer top-level categories with sub-menus to cut visible item count to <=9,MISMATCH,"templates/components/sidebar.html has up to ~19 items visible for ADMIN role (lines 168-275, counted 30 nav-item occurrences total across all role branches)",,No code change made in this audit pass; see Gap / Fix Needed.
